"id(n)","size((n)-[:`person/investor`]-())","size((n)-[:`person/legal`]-())","size((n)-[:`company/investor`]-())","size((n)-[:`company/staff`]-())","size((n)-[:`company/legal`]-())"
"64255","8","15","0","20","0"
"64283","9","11","0","20","0"
"64439","13","8","0","9","0"
"64524","9","6","0","7","0"
"64792","25","1","0","3","0"
"65017","4","15","0","15","0"
"65105","4","11","0","11","0"
"65400","9","5","0","7","0"
"65411","0","13","0","8","0"
"65478","10","4","0","12","0"
"65504","7","6","0","9","0"
"65664","7","0","0","128","0"
"66240","5","9","0","6","0"
"66273","0","39","0","29","0"
"66885","10","11","0","11","0"
"67722","7","17","0","14","0"
"67733","2","29","0","18","0"
"68839","8","13","0","20","0"
"69863","4","12","0","14","0"
"69938","0","48","0","23","0"
"69976","6","5","0","12","0"
"70528","2","2","0","26","0"
"70658","4","10","0","10","0"
"71650","7","9","0","8","0"
"71953","233","0","0","0","0"
"72101","4","9","0","18","0"
"72348","9","9","0","10","0"
"72674","14","18","0","21","0"
"72711","7","7","0","7","0"
"72756","7","4","0","9","0"
"72881","7","7","0","13","0"
"73994","7","4","0","10","0"
"74433","8","4","0","13","0"
"74733","7","5","0","11","0"
"74814","5","10","0","12","0"
"74939","12","8","0","13","0"
"74947","9","6","0","5","0"
"75130","10","4","0","7","0"
"75833","8","3","0","9","0"
"75851","9","6","0","10","0"
"76021","8","6","0","11","0"
"76427","7","8","0","8","0"
"76450","12","6","0","12","0"
"76649","11","5","0","11","0"
"77110","2","10","0","12","0"
"77146","7","9","0","10","0"
"77202","4","6","0","17","0"
"79306","21","11","0","23","0"
"79681","5","4","0","11","0"
"80350","9","4","0","8","0"
"80563","8","6","0","7","0"
"80947","7","18","0","15","0"
"81123","8","4","0","8","0"
"81132","11","8","0","8","0"
"81152","14","9","0","14","0"
"81354","0","105","0","105","0"
"81361","9","3","0","8","0"
"81508","9","6","0","9","0"
"81512","0","86","0","87","0"
"82162","7","5","0","9","0"
"82620","7","4","0","11","0"
"83100","8","5","0","8","0"
"83226","8","6","0","14","0"
"83402","4","7","0","9","0"
"83454","8","6","0","8","0"
"83741","0","26","0","26","0"
"83906","3","4","0","13","0"
"83946","9","8","0","13","0"
"83966","9","2","0","9","0"
"84011","14","6","0","12","0"
"84797","7","18","0","21","0"
"85221","7","5","0","11","0"
"85742","0","2","0","23","0"
"85869","8","6","0","7","0"
"86080","22","10","0","21","0"
"86405","1","11","0","20","0"
"86415","14","6","0","13","0"
"86844","4","6","0","11","0"
"87016","6","5","0","11","0"
"87314","12","3","0","9","0"
"87541","11","3","0","14","0"
"88195","8","4","0","8","0"
"88384","12","10","0","13","0"
"88427","6","5","0","11","0"
"88578","9","10","0","11","0"
"88587","32","5","0","24","0"
"88631","7","9","0","12","0"
"88873","2","9","0","13","0"
"89147","0","20","0","0","0"
"89266","0","25","0","13","0"
"89273","5","8","0","10","0"
"89382","8","7","0","8","0"
"89813","15","8","0","15","0"
"89972","6","4","0","10","0"
"90162","7","5","0","11","0"
"90499","4","10","0","10","0"
"90565","8","8","0","7","0"
"90647","9","5","0","9","0"
"91552","1","0","0","25","0"
"92044","18","10","0","18","0"
"92094","14","7","0","14","0"
"92181","3","19","0","11","0"
"92207","7","6","0","7","0"
"92867","16","8","0","16","0"
"93017","7","6","0","7","0"
"93245","9","5","0","20","0"
"93393","3","6","0","11","0"
"93599","3","11","0","14","0"
"93715","4","8","0","8","0"
"94139","7","4","0","9","0"
"95329","2","41","0","33","0"
"95510","14","15","0","15","0"
"95747","9","11","0","9","0"
"95748","3","12","0","6","0"
"95874","9","8","0","14","0"
"96167","8","10","0","7","0"
"96422","7","5","0","8","0"
"96577","4","9","0","16","0"
"96727","8","3","0","11","0"
"96915","7","4","0","10","0"
"97101","10","5","0","10","0"
"97753","13","6","0","9","0"
"98369","7","7","0","8","0"
"98370","8","7","0","8","0"
"98729","3","13","0","13","0"
"99701","8","3","0","9","0"
"100822","7","9","0","5","0"
"100940","7","766","0","510","0"
"101265","10","11","0","13","0"
"102788","9","4","0","9","0"
"102973","9","7","0","10","0"
"103002","3","56","0","74","0"
"103302","0","14","0","8","0"
"103448","10","5","0","6","0"
"104171","17","9","0","19","0"
"104855","9","7","0","8","0"
"105128","10","5","0","10","0"
"107002","8","19","0","19","0"
"107201","6","9","0","9","0"
"107360","10","6","0","6","0"
"107871","5","84","0","87","0"
"107930","6","10","0","12","0"
"108004","1","0","0","21","0"
"108097","10","5","0","5","0"
"108314","8","4","0","8","0"
"109079","7","6","0","8","0"
"109661","0","10","0","12","0"
"110204","14","11","0","20","0"
"110537","1","9","0","28","0"
"110832","8","3","0","9","0"
"110896","6","7","0","10","0"
"111244","12","7","0","10","0"
"112016","7","7","0","9","0"
"112785","4","13","0","13","0"
"112837","12","12","0","18","0"
"113030","6","7","0","8","0"
"113153","13","8","0","15","0"
"113512","7","10","0","10","0"
"114316","8","7","0","10","0"
"114526","11","6","0","18","0"
"114674","8","6","0","9","0"
"114808","27","13","0","28","0"
"115008","14","5","0","14","0"
"115229","1","8","0","14","0"
"115330","14","23","0","29","0"
"115438","3","17","0","15","0"
"115723","8","9","0","8","0"
"115884","8","6","0","9","0"
"115897","6","5","0","9","0"
"115910","1","26","0","26","0"
"115932","9","5","0","9","0"
"116123","10","6","0","10","0"
"116141","7","9","0","11","0"
"116237","20","10","0","19","0"
"116954","14","6","0","9","0"
"117218","5","7","0","8","0"
"117237","8","4","0","8","0"
"117422","12","12","0","12","0"
"117540","3","6","0","16","0"
"118106","11","8","0","13","0"
"118153","8","5","0","7","0"
"118295","8","6","0","10","0"
"118321","3","12","0","13","0"
"118420","8","4","0","9","0"
"119082","15","13","0","16","0"
"119386","4","9","0","24","0"
"119513","6","7","0","8","0"
"119584","11","37","0","39","0"
"120136","8","10","0","11","0"
"120204","10","3","0","8","0"
"120692","9","5","0","7","0"
"120929","8","7","0","8","0"
"120971","0","16","0","15","0"
"122512","12","4","0","23","0"
"122633","7","20","0","23","0"
"122678","0","7","0","21","0"
"122724","8","5","0","16","0"
"122741","7","4","0","11","0"
"122945","9","5","0","11","0"
"123100","7","8","0","6","0"
"123277","8","6","0","10","0"
"123352","10","5","0","10","0"
"123960","6","22","0","29","0"
"124161","0","53","0","53","0"
"124171","6","7","0","7","0"
"124193","11","12","0","26","0"
"124382","2","6","0","18","0"
"124552","15","5","0","10","0"
"125228","28","3","0","20","0"
"126292","6","2","0","14","0"
"126545","7","6","0","8","0"
"126634","7","6","0","8","0"
"127550","4","9","0","10","0"
"127856","10","5","0","10","0"
"128104","17","9","0","17","0"
"128293","10","3","0","10","0"
"128340","13","16","0","21","0"
"128359","0","11","0","71","0"
"128463","104","25","0","79","0"
"129066","7","8","0","7","0"
"129204","12","8","0","25","0"
"129574","5","9","0","30","0"
"129844","8","5","0","8","0"
"130500","8","8","0","13","0"
"131829","10","10","0","10","0"
"131858","0","1","0","25","0"
"132129","14","8","0","9","0"
"132192","9","9","0","9","0"
"132527","8","4","0","10","0"
"132804","11","2","0","9","0"
"133185","1","0","0","50","0"
"133396","10","5","0","10","0"
"134597","8","6","0","9","0"
"134626","9","6","0","11","0"
"135071","1","2","0","17","0"
"135087","9","7","0","10","0"
"135554","9","4","0","8","0"
"135834","7","6","0","8","0"
"136361","9","8","0","12","0"
"136374","9","12","0","7","0"
"136920","1","3","0","34","0"
"138306","25","0","0","25","0"
"138520","0","86","0","3","0"
"139037","7","6","0","8","0"
"139239","9","4","0","12","0"
"139612","8","8","0","8","0"
"139990","7","2","0","13","0"
"140016","15","14","0","17","0"
"140436","7","6","0","7","0"
"140515","8","4","0","8","0"
"140524","8","7","0","14","0"
"141066","1","7","0","12","0"
"142214","6","12","0","26","0"
"142490","8","6","0","6","0"
"142624","8","6","0","9","0"
"143694","10","2","0","9","0"
"143706","13","5","0","11","0"
"143751","12","3","0","12","0"
"143846","8","3","0","9","0"
"143931","3","22","0","22","0"
"144233","6","7","0","9","0"
"144328","16","0","0","5","0"
"144422","6","6","0","10","0"
"144896","13","2","0","16","0"
"145184","7","6","0","10","0"
"145374","7","4","0","10","0"
"145514","12","8","0","10","0"
"145530","5","8","0","8","0"
"145718","1","7","0","19","0"
"146244","14","2","0","20","0"
"146982","0","28","0","12","0"
"147122","8","4","0","8","0"
"147439","8","7","0","7","0"
"147479","7","7","0","7","0"
"148573","9","6","0","10","0"
"148731","0","11","0","11","0"
"148886","11","7","0","11","0"
"149003","3","9","0","10","0"
"149211","6","8","0","8","0"
"150111","0","0","0","98","0"
"150527","12","9","0","12","0"
"151041","0","29","0","18","0"
"151817","11","4","0","10","0"
"152017","2","63","0","32","0"
"152111","4","20","0","2","0"
"152349","9","9","0","8","0"
"152419","6","7","0","9","0"
"152426","8","3","0","10","0"
"152577","11","7","0","10","0"
"152638","12","4","0","13","0"
"152742","0","8","0","14","0"
"153491","5","9","0","8","0"
"153893","0","60","0","0","0"
"153960","2","1","0","17","0"
"154341","14","14","0","13","0"
"154350","6","7","0","11","0"
"154417","3","5","0","15","0"
"155053","7","7","0","7","0"
"155467","9","6","0","9","0"
"155562","16","9","0","15","0"
"156553","14","2","0","10","0"
"156905","16","7","0","15","0"
"156917","8","5","0","8","0"
"157910","10","7","0","9","0"
"158135","6","5","0","10","0"
"158465","7","7","0","8","0"
"158733","3","10","0","12","0"
"158791","9","4","0","8","0"
"160060","9","5","0","8","0"
"160266","8","3","0","10","0"
"160729","8","7","0","9","0"
"161005","12","7","0","10","0"
"161007","8","6","0","7","0"
"161050","8","5","0","9","0"
"161711","3","14","0","14","0"
"161960","19","7","0","19","0"
"161992","5","10","0","7","0"
"162100","0","14","0","12","0"
"162304","11","7","0","12","0"
"162374","18","18","0","28","0"
"162405","9","7","0","11","0"
"163592","11","4","0","9","0"
"163803","32","14","0","33","0"
"163869","4","12","0","13","0"
"164092","6","7","0","7","0"
"164557","0","13","0","15","0"
"164706","10","5","0","10","0"
"165602","9","3","0","12","0"
"165710","9","7","0","9","0"
"165848","7","5","0","9","0"
"166878","6","5","0","11","0"
"167509","12","6","0","12","0"
"167633","6","10","0","11","0"
"167650","23","14","0","27","0"
"167737","8","4","0","8","0"
"167751","10","6","0","13","0"
"169622","0","11","0","14","0"
"170354","0","15","0","30","0"
"170439","11","6","0","12","0"
"170791","20","10","0","20","0"
"171118","6","8","0","7","0"
"172120","8","8","0","8","0"
"172761","7","7","0","11","0"
"172888","7","8","0","11","0"
"174358","8","8","0","7","0"
"174460","5","9","0","8","0"
"175255","8","4","0","8","0"
"177260","8","5","0","7","0"
"177446","5","23","0","18","0"
"177705","7","7","0","7","0"
"177788","6","8","0","14","0"
"178789","9","7","0","10","0"
"178988","8","6","0","7","0"
"179279","7","4","0","14","0"
"179419","10","4","0","8","0"
"179566","5","9","0","13","0"
"180082","4","8","0","8","0"
"180806","7","7","0","6","0"
"180813","13","0","0","10","0"
"180994","7","7","0","7","0"
"181409","8","5","0","7","0"
"182942","5","6","0","9","0"
"183303","14","6","0","11","0"
"183380","3","9","0","10","0"
"183782","9","8","0","11","0"
"183905","7","5","0","8","0"
"184354","19","16","0","20","0"
"184902","10","4","0","9","0"
"185407","7","7","0","9","0"
"185505","8","5","0","9","0"
"185953","1","12","0","13","0"
"186380","17","14","0","17","0"
"186542","3","8","0","10","0"
"186588","8","4","0","8","0"
"187153","4","7","0","10","0"
"187390","7","6","0","7","0"
"187437","0","19","0","8","0"
"188554","8","7","0","9","0"
"188967","0","63","0","18","0"
"189258","12","2","0","12","0"
"190402","11","3","0","7","0"
"190489","8","4","0","8","0"
"190517","3","11","0","13","0"
"190652","2","20","0","21","0"
"190952","7","5","0","8","0"
"191551","9","3","0","8","0"
